,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,foreign_worker,credit_risk
441,... >= 200 DM / salary for at least 1 year,27,existing credits paid back duly till now,retraining,5117,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,skilled employee/official,0 to 2,no,good
442,no checking account,39,all credits at this bank paid back duly,car (used),14179,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,30,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,good
443,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,furniture/equipment,1386,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,unknown / no property,40,none,for free,1,skilled employee/official,0 to 2,no,good
444,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,618,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,unknown / no property,56,none,rent,1,skilled employee/official,0 to 2,no,good
445,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (used),1574,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,50,none,rent,1,skilled employee/official,0 to 2,no,good
446,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,700,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,36,none,own,2-3,skilled employee/official,0 to 2,no,good
447,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,furniture/equipment,886,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,21,none,rent,1,skilled employee/official,0 to 2,no,good
448,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,car (new),4686,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,32,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
449,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,790,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,66,none,rent,1,unskilled - resident,0 to 2,no,good
450,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,766,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,66,none,rent,1,unskilled - resident,0 to 2,no,bad
451,no checking account,20,no credits taken/all credits paid back duly,car (used),2212,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,39,none,rent,1,skilled employee/official,0 to 2,no,good
452,... < 0 DM,10,no credits taken/all credits paid back duly,others,7308,unknown/no savings account,unemployed,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,70,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
453,... < 0 DM,24,all credits at this bank paid back duly,repairs,5743,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,real estate,24,none,own,2-3,skilled employee/official,0 to 2,no,good
454,no checking account,14,no credits taken/all credits paid back duly,others,3973,unknown/no savings account,unemployed,>= 35,male : married/widowed,none,>= 7 yrs,real estate,22,none,own,1,skilled employee/official,0 to 2,no,good
455,... < 0 DM,60,existing credits paid back duly till now,furniture/equipment,7418,... >= 1000 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,< 1 yr,unknown / no property,27,none,rent,1,unskilled - resident,0 to 2,no,good
456,... < 0 DM,20,existing credits paid back duly till now,business,2629,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,29,bank,rent,2-3,skilled employee/official,0 to 2,no,good
457,... < 0 DM,18,no credits taken/all credits paid back duly,retraining,1941,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,35,none,rent,1,unskilled - resident,0 to 2,no,good
458,... < 0 DM,24,existing credits paid back duly till now,car (used),2333,... >= 1000 DM,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,29,bank,rent,1,unskilled - resident,0 to 2,no,good
459,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (new),2445,... >= 1000 DM,< 1 yr,25 <= ... < 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,26,none,for free,1,skilled employee/official,0 to 2,no,good
460,... < 0 DM,20,no credits taken/all credits paid back duly,car (new),6468,... >= 1000 DM,unemployed,>= 35,male : divorced/separated,none,>= 7 yrs,unknown / no property,60,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
461,... < 0 DM,18,all credits at this bank paid back duly,car (used),7374,unknown/no savings account,unemployed,< 20,male : married/widowed,none,>= 7 yrs,car or other,40,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,good
462,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (new),3812,... <  100 DM,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,good
463,no checking account,28,no credits taken/all credits paid back duly,others,4006,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,45,none,rent,1,unskilled - resident,0 to 2,no,bad
464,... < 0 DM,12,no credits taken/all credits paid back duly,others,7472,... >= 1000 DM,unemployed,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,24,none,for free,1,unemployed/unskilled - non-resident,0 to 2,no,good
465,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,car (used),1424,... >= 1000 DM,>= 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,unknown / no property,55,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
466,... < 0 DM,12,no credits taken/all credits paid back duly,car (new),2028,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,good
467,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,others,5324,100 <= ... <  500 DM,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,no,good
468,... < 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,2323,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,for free,1,skilled employee/official,0 to 2,no,good
469,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,repairs,1393,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,bank,rent,4-5,skilled employee/official,3 or more,no,good
470,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (used),1984,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,47,bank,own,2-3,skilled employee/official,0 to 2,no,good
471,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,999,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,good
472,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,retraining,7409,... >= 1000 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,37,none,rent,2-3,skilled employee/official,0 to 2,no,good
473,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,car (used),2186,... >= 1000 DM,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,33,bank,for free,1,unskilled - resident,0 to 2,no,good
474,0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4473,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,no,good
475,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,vacation,937,unknown/no savings account,< 1 yr,< 20,female : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,27,none,rent,2-3,unskilled - resident,0 to 2,no,good
476,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (used),3422,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,bank,rent,4-5,skilled employee/official,3 or more,no,good
477,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,3105,... >= 1000 DM,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,good
478,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,repairs,2748,unknown/no savings account,>= 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,real estate,57,bank,own,4-5,unskilled - resident,0 to 2,no,good
479,... < 0 DM,18,no credits taken/all credits paid back duly,domestic appliances,3872,unknown/no savings account,unemployed,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,67,none,rent,1,skilled employee/official,0 to 2,no,good
480,... >= 200 DM / salary for at least 1 year,27,no credits taken/all credits paid back duly,domestic appliances,5190,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,car or other,48,none,rent,>= 6,skilled employee/official,3 or more,no,good
481,... < 0 DM,18,no credits taken/all credits paid back duly,car (used),3001,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,unknown / no property,40,none,for free,1,skilled employee/official,0 to 2,no,good
482,... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,retraining,3863,unknown/no savings account,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,1 <= ... < 4 yrs,real estate,32,none,own,1,skilled employee/official,0 to 2,no,good
483,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),5801,... >= 1000 DM,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,49,none,for free,1,skilled employee/official,0 to 2,yes,good
484,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),1592,500 <= ... < 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,good
485,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,retraining,1185,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,27,none,rent,2-3,skilled employee/official,0 to 2,no,good
486,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,car (used),3780,unknown/no savings account,< 1 yr,20 <= ... < 25,male : divorced/separated,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,35,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,good
487,... < 0 DM,18,all credits at this bank paid back duly,car (used),3612,unknown/no savings account,>= 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,car or other,37,none,rent,1,skilled employee/official,0 to 2,yes,good
488,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,retraining,1076,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : single,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,good
489,... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,3527,... >= 1000 DM,< 1 yr,25 <= ... < 35,male : married/widowed,none,4 <= ... < 7 yrs,car or other,45,none,rent,1,manager/self-empl./highly qualif. employee,3 or more,no,good
490,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,2051,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,unknown / no property,33,none,rent,1,skilled employee/official,0 to 2,no,good
491,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),3331,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,42,stores,rent,1,skilled employee/official,0 to 2,no,good
492,no checking account,18,delay in paying off in the past,retraining,3104,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,< 1 yr,car or other,31,bank,rent,1,skilled employee/official,0 to 2,no,good
493,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,furniture/equipment,2611,unknown/no savings account,>= 7 yrs,< 20,female : single,co-applicant,4 <= ... < 7 yrs,unknown / no property,46,none,rent,2-3,skilled employee/official,0 to 2,no,good
494,no checking account,12,all credits at this bank paid back duly,car (new),1409,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,unknown / no property,54,none,rent,1,skilled employee/official,0 to 2,no,good
495,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,1311,... <  100 DM,4 <= ... < 7 yrs,< 20,female : single,none,4 <= ... < 7 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,good
496,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,furniture/equipment,2108,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,female : single,none,1 <= ... < 4 yrs,unknown / no property,29,none,for free,1,skilled employee/official,0 to 2,no,good
497,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),4042,... >= 1000 DM,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,car or other,43,none,rent,2-3,skilled employee/official,0 to 2,no,good
498,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,others,926,unknown/no savings account,unemployed,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,38,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,good
499,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,1680,100 <= ... <  500 DM,>= 7 yrs,20 <= ... < 25,female : single,none,< 1 yr,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,no,good
500,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,others,1249,unknown/no savings account,< 1 yr,< 20,female : single,none,1 <= ... < 4 yrs,unknown / no property,28,none,rent,1,skilled employee/official,0 to 2,no,good
501,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,others,2463,... <  100 DM,4 <= ... < 7 yrs,< 20,female : single,none,4 <= ... < 7 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,good
502,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,furniture/equipment,1595,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,51,none,rent,1,skilled employee/official,3 or more,no,good
503,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,domestic appliances,2058,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,33,none,rent,2-3,skilled employee/official,0 to 2,no,good
504,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,car (new),7814,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,38,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
505,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,furniture/equipment,1740,unknown/no savings account,>= 7 yrs,25 <= ... < 35,female : single,none,1 <= ... < 4 yrs,unknown / no property,30,none,for free,2-3,skilled employee/official,0 to 2,no,good
506,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,furniture/equipment,1240,... >= 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,38,none,rent,2-3,skilled employee/official,0 to 2,no,good
507,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),6842,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,car or other,46,none,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,no,good
508,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (used),5150,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,good
509,no checking account,6,no credits taken/all credits paid back duly,others,1203,... <  100 DM,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,43,none,rent,1,skilled employee/official,0 to 2,no,good
510,... >= 200 DM / salary for at least 1 year,6,all credits at this bank paid back duly,others,2080,100 <= ... <  500 DM,1 <= ... < 4 yrs,>= 35,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,24,none,rent,1,skilled employee/official,0 to 2,no,good
511,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,repairs,1538,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,1 <= ... < 4 yrs,real estate,56,none,rent,1,skilled employee/official,0 to 2,no,good
512,... < 0 DM,24,all credits at this bank paid back duly,others,3878,... <  100 DM,< 1 yr,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,37,none,rent,1,skilled employee/official,0 to 2,no,good
513,... < 0 DM,30,no credits taken/all credits paid back duly,car (used),3832,unknown/no savings account,< 1 yr,25 <= ... < 35,female : single,none,< 1 yr,car or other,22,none,rent,1,skilled employee/official,0 to 2,no,good
514,... >= 200 DM / salary for at least 1 year,15,no credits taken/all credits paid back duly,others,3186,500 <= ... < 1000 DM,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,20,none,for free,1,skilled employee/official,0 to 2,no,good
515,... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,2896,... <  100 DM,< 1 yr,25 <= ... < 35,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,29,none,rent,1,skilled employee/official,0 to 2,no,good
516,... < 0 DM,24,existing credits paid back duly till now,retraining,6967,... <  100 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,36,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
517,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,repairs,1819,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,37,stores,own,1,skilled employee/official,0 to 2,no,bad
518,... >= 200 DM / salary for at least 1 year,24,no credits taken/all credits paid back duly,furniture/equipment,5943,... >= 1000 DM,< 1 yr,>= 35,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,44,none,rent,2-3,skilled employee/official,0 to 2,no,bad
519,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,car (used),7127,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,car or other,23,none,for free,2-3,skilled employee/official,0 to 2,no,bad
520,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,car (used),3349,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,no,bad
521,... >= 200 DM / salary for at least 1 year,36,no credits taken/all credits paid back duly,car (used),10974,unknown/no savings account,unemployed,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,bad
522,... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,furniture/equipment,518,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,< 1 yr,unknown / no property,29,none,rent,1,skilled employee/official,0 to 2,no,good
523,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,1126,... >= 1000 DM,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,21,none,for free,1,skilled employee/official,0 to 2,no,good
524,... < 0 DM,12,all credits at this bank paid back duly,car (new),1860,unknown/no savings account,unemployed,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,good
525,... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,furniture/equipment,9566,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,stores,rent,2-3,skilled employee/official,0 to 2,no,good
526,no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,701,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,unknown / no property,40,none,rent,1,unskilled - resident,0 to 2,no,good
527,... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,2930,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,unknown / no property,27,none,rent,1,skilled employee/official,0 to 2,no,good
528,... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,1505,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,real estate,32,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,good
529,... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,furniture/equipment,2238,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,25,none,rent,2-3,skilled employee/official,0 to 2,no,good
530,... >= 200 DM / salary for at least 1 year,4,all credits at this bank paid back duly,furniture/equipment,1503,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,unknown / no property,42,none,rent,2-3,unskilled - resident,3 or more,no,good
531,... >= 200 DM / salary for at least 1 year,24,all credits at this bank paid back duly,car (new),2197,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,43,none,rent,2-3,skilled employee/official,3 or more,no,good
532,0<= ... < 200 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1881,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,44,none,for free,1,unskilled - resident,0 to 2,no,good
533,no checking account,18,all credits at this bank paid back duly,furniture/equipment,1880,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : single,none,< 1 yr,car or other,32,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,good
534,no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,2389,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,27,stores,rent,1,skilled employee/official,0 to 2,no,good
535,... < 0 DM,24,no credits taken/all credits paid back duly,furniture/equipment,1967,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,20,none,rent,1,skilled employee/official,0 to 2,no,good
536,... >= 200 DM / salary for at least 1 year,4,all credits at this bank paid back duly,others,3380,unknown/no savings account,4 <= ... < 7 yrs,>= 35,female : non-single or male : single,none,< 1 yr,unknown / no property,37,none,rent,1,skilled employee/official,3 or more,no,good
537,... >= 200 DM / salary for at least 1 year,4,all credits at this bank paid back duly,others,1455,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,unknown / no property,42,none,rent,4-5,unskilled - resident,3 or more,no,good
538,... >= 200 DM / salary for at least 1 year,7,all credits at this bank paid back duly,furniture/equipment,730,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,46,none,for free,2-3,unskilled - resident,0 to 2,no,good
539,... < 0 DM,18,delay in paying off in the past,car (used),3244,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,33,bank,rent,2-3,skilled employee/official,0 to 2,no,good
540,... < 0 DM,9,no credits taken/all credits paid back duly,furniture/equipment,1670,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,22,none,rent,1,skilled employee/official,0 to 2,no,bad
541,... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,3979,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,41,none,rent,2-3,skilled employee/official,3 or more,no,good
542,... < 0 DM,12,no credits taken/all credits paid back duly,car (used),1922,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,37,none,rent,1,unskilled - resident,0 to 2,no,bad
543,... < 0 DM,18,all credits at this bank paid back duly,car (used),1295,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,good
544,... >= 200 DM / salary for at least 1 year,4,all credits at this bank paid back duly,furniture/equipment,1544,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,< 1 yr,unknown / no property,42,none,rent,4-5,unskilled - resident,3 or more,no,good
545,... < 0 DM,8,no credits taken/all credits paid back duly,retraining,907,unknown/no savings account,< 1 yr,20 <= ... < 25,female : single,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,good
546,... < 0 DM,30,no credits taken/all credits paid back duly,furniture/equipment,1715,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,good
547,0<= ... < 200 DM,10,all credits at this bank paid back duly,furniture/equipment,1347,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,27,none,rent,2-3,skilled employee/official,0 to 2,no,good
548,... < 0 DM,12,no credits taken/all credits paid back duly,others,1007,500 <= ... < 1000 DM,1 <= ... < 4 yrs,< 20,female : single,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,good
549,... >= 200 DM / salary for at least 1 year,12,all credits at this bank paid back duly,car (used),1402,100 <= ... <  500 DM,4 <= ... < 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,37,none,for free,1,skilled employee/official,0 to 2,no,good
550,... < 0 DM,12,no credits taken/all credits paid back duly,others,2002,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,car or other,30,none,for free,1,skilled employee/official,3 or more,no,good
